Frequency,Magnitude
434000000,-55.48
436000000,-53.27
438000000,-47.88
440000000,-45.85
442000000,-46.28
444000000,-51.94
446000000,-54.83
448000000,-53.26
450000000,-54.26
452000000,-53.45
454000000,-52.59
456000000,-55.06
458000000,-55.09
460000000,-54.70
462000000,-55.47
464000000,-55.42
466000000,-56.58
468000000,-56.66
470000000,-54.75
472000000,-54.67
474000000,-56.86
476000000,-54.91
478000000,-53.19
480000000,-53.55
482000000,-52.82
484000000,-53.43
486000000,-56.49
488000000,-53.76
490000000,-55.16
492000000,-53.54
494000000,-57.27
496000000,-56.21
498000000,-53.44
500000000,-57.03
502000000,-53.80
504000000,-55.61
506000000,-57.63
508000000,-55.94
510000000,-56.59
512000000,-54.63
514000000,-53.40
516000000,-54.28
518000000,-54.03
520000000,-51.08
522000000,-55.59
524000000,-54.31
526000000,-56.98
528000000,-54.97
530000000,-54.11
532000000,-55.94
534000000,-54.53
536000000,-55.16
538000000,-56.77
540000000,-56.11
542000000,-54.81
544000000,-55.26
546000000,-54.94
548000000,-56.78
550000000,-55.56
552000000,-54.43
554000000,-54.57
556000000,-54.54
558000000,-52.95
560000000,-51.66
562000000,-54.84
564000000,-54.98
566000000,-51.85
568000000,-56.84
570000000,-55.15
572000000,-54.29
574000000,-56.29
576000000,-57.20
578000000,-52.98
580000000,-54.14
582000000,-53.98
584000000,-53.91
586000000,-54.74
588000000,-54.03
590000000,-54.83
592000000,-54.84
594000000,-55.91
596000000,-54.79
598000000,-51.69
600000000,-48.44
602000000,-52.92
604000000,-52.62
606000000,-54.40
608000000,-54.04
610000000,-55.55
612000000,-54.99
614000000,-55.04
616000000,-55.39
618000000,-54.22
620000000,-54.24
622000000,-52.30
624000000,-54.59
626000000,-55.07
628000000,-54.72
630000000,-52.71
632000000,-52.90
634000000,-52.49
636000000,-52.30
638000000,-41.86
640000000,-38.15
642000000,-39.26
644000000,-49.42
646000000,-51.79
648000000,-51.85
650000000,-52.29
652000000,-53.78
654000000,-55.58
656000000,-54.89
658000000,-54.96
660000000,-54.25
662000000,-55.22
664000000,-52.92
666000000,-54.51
668000000,-55.18
670000000,-52.63
672000000,-53.86
674000000,-53.44
676000000,-54.63
678000000,-52.03
680000000,-49.20
682000000,-50.57
684000000,-53.44
686000000,-54.30
688000000,-53.03
690000000,-54.57
692000000,-51.34
694000000,-53.31
696000000,-52.63
698000000,-52.91
700000000,-53.88
702000000,-53.37
704000000,-54.60
706000000,-55.11
708000000,-52.10
710000000,-51.82
712000000,-52.73
714000000,-53.78
716000000,-54.28
718000000,-53.09
720000000,-50.64
722000000,-51.28
724000000,-52.05
726000000,-51.04
728000000,-50.92
730000000,-54.45
732000000,-52.67
734000000,-52.17
736000000,-53.06
738000000,-51.90
740000000,-52.68
742000000,-48.67
744000000,-51.04
746000000,-52.20
748000000,-52.04
750000000,-51.75
752000000,-52.21
754000000,-50.90
756000000,-51.02
758000000,-51.55
760000000,-48.48
762000000,-49.25
764000000,-51.69
766000000,-50.22
768000000,-52.26
770000000,-50.81
772000000,-51.24
774000000,-51.52
776000000,-50.00
778000000,-52.05
780000000,-50.49
782000000,-52.12
784000000,-53.61
786000000,-51.36
788000000,-52.01
790000000,-52.74
792000000,-49.19
794000000,-51.30
796000000,-51.43
798000000,-51.32
800000000,-48.83
802000000,-49.43
804000000,-51.18
806000000,-51.62
808000000,-52.01
810000000,-52.19
812000000,-52.60
814000000,-51.54
816000000,-51.69
818000000,-48.98
820000000,-48.91
822000000,-51.41
824000000,-47.09
826000000,-47.77
828000000,-48.91
830000000,-45.83
832000000,-44.10
834000000,-41.43
836000000,-40.43
838000000,-30.25
840000000,-26.17
842000000,-28.02
844000000,-39.08
846000000,-41.97
848000000,-44.09
850000000,-47.60
852000000,-48.98
854000000,-49.58
856000000,-47.94
858000000,-48.36
860000000,-50.23
862000000,-49.05
864000000,-50.02
866000000,-48.21
868000000,-51.85
870000000,-50.80
872000000,-50.07
874000000,-48.78
876000000,-51.76
878000000,-49.60
880000000,-50.43
882000000,-50.39
884000000,-51.61
886000000,-52.48
888000000,-50.83
890000000,-50.84
892000000,-52.01
894000000,-52.82
896000000,-51.17
898000000,-52.68
900000000,-50.67
902000000,-50.64
904000000,-52.14
906000000,-53.03
908000000,-52.72
910000000,-51.81
912000000,-51.76
914000000,-54.18
916000000,-50.86
918000000,-53.45
920000000,-50.29
922000000,-50.38
924000000,-52.86
926000000,-52.10
928000000,-53.75
930000000,-51.39
932000000,-52.90
934000000,-50.03
936000000,-51.16
938000000,-51.08
940000000,-52.00
942000000,-53.30
944000000,-50.78
946000000,-51.96
948000000,-51.74
950000000,-52.84
952000000,-52.11
954000000,-53.33
956000000,-54.76
958000000,-50.53
960000000,-50.16
962000000,-51.16
964000000,-51.30
966000000,-52.26
968000000,-52.44
970000000,-52.49
972000000,-53.30
974000000,-52.93
976000000,-53.56
978000000,-52.90
980000000,-52.90
982000000,-52.12
984000000,-52.89
986000000,-53.42
988000000,-52.69
990000000,-53.42
992000000,-50.97
994000000,-52.51
996000000,-53.32
998000000,-53.47
1000000000,-48.21
1002000000,-49.17
1004000000,-53.21
1006000000,-52.39
1008000000,-53.15
1010000000,-52.39
1012000000,-52.37
1014000000,-51.71
1016000000,-51.03
1018000000,-54.71
1020000000,-51.20
1022000000,-54.88
1024000000,-53.96
1026000000,-52.12
1028000000,-50.99
1030000000,-52.41
1032000000,-53.62
1034000000,-53.35
1036000000,-52.13
1038000000,-44.28
1040000000,-41.34
1042000000,-44.93
1044000000,-51.44
1046000000,-52.63
1048000000,-52.25
1050000000,-52.95
1052000000,-53.54
1054000000,-51.56
1056000000,-53.46
1058000000,-51.62
1060000000,-53.59
1062000000,-53.22
1064000000,-51.50
1066000000,-53.75
1068000000,-54.81
1070000000,-50.94
1072000000,-52.95
1074000000,-53.41
1076000000,-52.59
1078000000,-50.92
1080000000,-46.10
1082000000,-49.91
1084000000,-50.58
1086000000,-54.62
1088000000,-52.96
1090000000,-53.54
1092000000,-54.23
1094000000,-51.27
1096000000,-54.87
1098000000,-54.52
1100000000,-51.95
1102000000,-52.23
1104000000,-51.69
1106000000,-52.73
1108000000,-52.80
1110000000,-51.23
1112000000,-51.58
1114000000,-53.11
1116000000,-53.18
1118000000,-53.06
1120000000,-48.92
1122000000,-52.50
1124000000,-52.83
1126000000,-53.55
1128000000,-52.18
1130000000,-52.78
1132000000,-53.04
1134000000,-53.23
1136000000,-51.18
1138000000,-51.21
1140000000,-52.98
1142000000,-53.75
1144000000,-51.91
1146000000,-53.26
1148000000,-51.80
1150000000,-50.84
1152000000,-53.36
1154000000,-53.78
1156000000,-51.30
1158000000,-51.24
1160000000,-43.47
1162000000,-42.93
1164000000,-51.92
1166000000,-49.93
1168000000,-53.65
1170000000,-50.15
1172000000,-51.20
1174000000,-52.05
1176000000,-50.58
1178000000,-51.38
1180000000,-50.50
1182000000,-49.83
1184000000,-49.49
1186000000,-50.96
1188000000,-51.39
1190000000,-52.99
1192000000,-52.66
1194000000,-47.81
1196000000,-52.44
1198000000,-50.31
1200000000,-49.36
1202000000,-48.00
1204000000,-49.12
1206000000,-50.89
1208000000,-49.57
1210000000,-51.95
1212000000,-49.40
1214000000,-49.67
1216000000,-49.97
1218000000,-52.32
1220000000,-52.50
1222000000,-52.11
1224000000,-52.08
1226000000,-51.33
1228000000,-50.95
1230000000,-50.14
1232000000,-49.75
1234000000,-51.87
1236000000,-50.58
1238000000,-49.57
1240000000,-44.34
1242000000,-47.23
1244000000,-50.61
1246000000,-49.51
1248000000,-49.68
1250000000,-51.60
1252000000,-49.82
1254000000,-48.57
1256000000,-48.59
1258000000,-48.60
1260000000,-47.46
1262000000,-48.84
1264000000,-46.64
1266000000,-47.85
1268000000,-48.47
1270000000,-47.46
1272000000,-49.14
1274000000,-50.11
1276000000,-48.31
1278000000,-46.02
1280000000,-42.17
1282000000,-45.09
1284000000,-46.46
1286000000,-49.15
1288000000,-46.40
1290000000,-45.57
1292000000,-48.23
1294000000,-48.60
1296000000,-46.93
1298000000,-47.76
1300000000,-47.51
1302000000,-45.88
1304000000,-49.85
1306000000,-47.69
1308000000,-45.67
1310000000,-45.63
1312000000,-47.85
1314000000,-45.78
1316000000,-47.39
1318000000,-44.11
1320000000,-42.48
1322000000,-44.81
1324000000,-46.96
1326000000,-42.66
1328000000,-37.70
1330000000,-36.31
1332000000,-36.45
1334000000,-36.37
1336000000,-37.70
1338000000,-38.68
1340000000,-40.79
1342000000,-42.87
1344000000,-49.33
1346000000,-48.00
1348000000,-46.58
1350000000,-44.93
1352000000,-47.17
1354000000,-47.72
1356000000,-47.66
1358000000,-45.32
1360000000,-45.10
1362000000,-46.79
1364000000,-46.40
1366000000,-46.80
1368000000,-45.13
1370000000,-48.03
1372000000,-47.03
1374000000,-46.09
1376000000,-51.24
1378000000,-48.81
1380000000,-48.79
1382000000,-48.00
1384000000,-47.55
1386000000,-43.53
1388000000,-47.56
1390000000,-44.32
1392000000,-48.33
1394000000,-47.49
1396000000,-48.24
1398000000,-47.71
1400000000,-47.88
1402000000,-48.44
1404000000,-49.11
1406000000,-47.81
1408000000,-46.85
1410000000,-50.36
1412000000,-50.30
1414000000,-46.59
1416000000,-44.86
1418000000,-47.67
1420000000,-49.31
1422000000,-47.11
1424000000,-48.05
1426000000,-50.00
1428000000,-49.19
1430000000,-49.33
1432000000,-48.00
1434000000,-47.27
1436000000,-46.74
1438000000,-44.31
1440000000,-46.29
1442000000,-46.15
1444000000,-49.53
1446000000,-48.60
1448000000,-46.38
1450000000,-48.19
1452000000,-49.05
1454000000,-48.33
1456000000,-48.50
1458000000,-48.41
1460000000,-46.27
1462000000,-46.25
1464000000,-47.68
1466000000,-47.06
1468000000,-47.67
1470000000,-47.49
1472000000,-47.26
1474000000,-43.39
1476000000,-43.48
1478000000,-37.68
1480000000,-35.17
1482000000,-37.83
1484000000,-46.21
1486000000,-47.28
1488000000,-46.20
1490000000,-46.12
1492000000,-47.67
1494000000,-48.58
1496000000,-46.52
1498000000,-47.74
1500000000,-47.64
